pbindaff,6.6,7.6,8.6,9.6,15.6,16.6,17.6,35.6,53.6,6.7,7.7,8.7,9.7,15.7,16.7,17.7,35.7,53.7,6.8,7.8,8.8,9.8,15.8,16.8,17.8,35.8,53.8,6.9,7.9,8.9,9.9,15.9,16.9,17.9,35.9,53.9,6.15,7.15,8.15,9.15,15.15,16.15,17.15,35.15,53.15,6.16,7.16,8.16,9.16,15.16,16.16,17.16,35.16,53.16,6.17,7.17,8.17,9.17,15.17,16.17,17.17,35.17,53.17,6.35,7.35,8.35,9.35,15.35,16.35,17.35,35.35,53.35,6.53,7.53,8.53,9.53,15.53,16.53,17.53,35.53,53.53,PDB
 2.800,1192,326,406,0,0,34,0,0,0,176,52,59,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2bza
 2.930,1205,330,415,0,0,33,0,0,0,178,53,60,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1tng
 3.250,1135,336,396,0,0,34,0,0,0,377,110,122,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v2j
 3.330,1501,418,511,0,0,43,0,0,0,179,53,62,0,0,4,0,0,0,144,40,53,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4ab9
 3.370,1205,334,410,0,0,34,0,0,0,175,51,61,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,149,44,58,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1tnh
 3.370,1132,322,390,0,0,38,0,0,0,379,110,125,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v2u
 3.400,1569,441,542,0,0,47,0,0,0,454,133,160,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4abe
 3.550,2211,658,770,0,0,57,0,0,0,573,170,200,0,0,15,0,0,0,389,130,152,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,19,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v2r
 3.700,1149,321,393,0,0,31,0,0,0,540,154,175,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2fx6
